COVERED CALL WRITES: CASH

Column Headings:
  Symb:    underlying symbol
  Stk:     closing price of underlying
  Opt:     option base symbol
  StrkMn   strike (numeric) and Month (alpha) of written option
  Call:    bid price of call being sold
  RIUC:    Raw Return, if unchanged, cash
  ARIUC:   Annualized Return, if unchanged, cash
  RIEC:    Raw Return, if exercised, cash
  ARIEC:   Annualized Return, if exercised, cash
  DBEC:    Downside breakeven point, cash
  UBEC:    UPSIDE breakeven point, cash
            i.e., the point above which stock outperforms covered write
  %DBE:    Percent distance from Stk price down to DBEC
  %UBE:    Percent distance from Stk price UP to UBEC
  PrDBE:   Prob. of CLOSING above DBE at expiration
  PrRIE:   Prob. of CLOSING above Striking Price at expiration
            i.e., Prob. of stock being called away
  PrUBE:   Prob. of CLOSING above UBE at expiration
  ERTN:    Raw EXPECTED Return, cash
  AERTNC:  Annualized EXPECTED Return, cash
  Invt:    Investment for cash covered write
  IVF:     Implied Volatility Factor
           = 100*(IV this option/avg IV for this stock - 1)
           => large positive numbers are most expensive options
NOTE: all returns and investment assume 5 cent commission on stock & option

  While we endeavor to make our data reliable, errors are always possible.
  Therefore, make sure you check the actual price of the option with a price
    quotation system or with your broker before actually entering an order.
  If the returns from the covered write look "too good," be suspicous.
  It is likely, in that case, that some data is in error.
  McMillan Analysis Corp. is not responsible for errors in this data,
    nor is it liable for losses incurred due to errors in this report.
  Accuracy and completeness are not guaranteed.

Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
ANVS     11.85  Feb  15       3.00   32.4  381.5   67.0  789.3   8.95  17.85  0.24  0.51    67    36    26    25.9   305.4   8.95   918/  100
ANVS     11.85  Feb  17.5     1.95   18.5  217.8   74.5  877.2  10.00  19.30  0.16  0.63    60    27    22    21.2   249.9  10.00   918/  100
MSOX      5.40  Feb  7        0.95   18.7  220.0   52.7  621.1   4.55   7.80  0.16  0.44    61    34    28    13.7   161.7   4.55     7/   91
ANVS     11.85  Apr  12.5     5.00   70.5  273.8   79.1  307.3   6.95  17.35  0.41  0.46    68    48    37    34.8   135.1   6.95   918/  100
ANVS     11.85  Apr  10       5.90   64.5  250.3   64.5  250.3   6.05  15.75  0.49  0.33    73    56    40    32.4   125.7   6.05   918/  100
TPST      4.24  Feb  5        0.85   21.5  252.7   41.6  490.2   3.49   5.70  0.18  0.34    62    40    32    10.5   123.6   3.49     7/   95
ANVS     11.85  Feb  10       4.00   25.2  296.2   25.2  296.2   7.95  13.85  0.33  0.17    73    60    40    10.4   122.4   7.95   918/  100
UVIX     13.22  May  26       2.25   19.4   58.1  134.4  402.2  11.07  28.10  0.16  1.13    60    18    15    36.0   107.7  11.07    52/   13
CYTK     81.19  Jan+ 90       3.20    4.0  144.9   15.2  554.3  78.09  93.05  0.04  0.15    60    26    20     2.9   105.5  78.09    -3/   81
UVIX     13.22  May  25       2.33   20.3   60.7  127.0  380.0  10.99  27.18  0.17  1.06    60    19    16    35.1   105.1  10.99    52/   13
AMLX     15.52  May  16       5.60   54.9  164.2   59.2  177.1  10.02  21.45  0.35  0.38    80    48    27    34.6   103.5  10.02    54/   79
UVIX     13.22  May  24       2.43   21.4   64.0  119.9  358.8  10.89  26.28  0.18  0.99    60    21    17    34.3   102.6  10.89    51/   13
UVIX     13.22  Apr  22       2.08   17.6   68.4   95.3  370.0  11.24  23.93  0.15  0.81    60    21    18    26.1   101.3  11.24    48/   13
UVIX     13.22  Jun  27       2.59   23.2   54.0  151.2  351.4  10.73  29.44  0.19  1.23    60    19    17    42.9    99.8  10.73    52/   13
UVIX     13.22  May  23       2.52   22.4   67.0  112.5  336.6  10.80  25.37  0.18  0.92    61    22    19    33.3    99.7  10.80    49/   13
UVIX     13.22  Jun  26       2.68   24.2   56.4  143.9  334.5  10.64  28.53  0.20  1.16    60    21    18    42.0    97.7  10.64    52/   13
UVIX     13.22  Apr  21       2.19   18.8   72.9   88.2  342.6  11.13  23.04  0.16  0.74    61    24    19    25.2    97.7  11.13    47/   13
UVIX     13.22  May  22       2.63   23.7   70.8  105.3  315.1  10.69  24.48  0.19  0.85    61    24    20    32.2    96.4  10.69    48/   13
CYTK     81.19  Jan+ 85       4.70    6.0  219.2   10.9  398.4  76.59  89.55  0.06  0.10    64    39    27     2.6    96.0  76.59    -4/   81
UVIX     13.22  Jun  25       2.77   25.3   58.8  136.5  317.3  10.55  27.62  0.20  1.09    61    22    19    41.1    95.5  10.55    50/   13
ANVS     11.85  Apr  7.5      6.80   44.7  173.4   44.7  173.4   5.15  14.15  0.57  0.19    77    66    44    24.5    95.0   5.15   918/  100
UVIX     13.22  May  21       2.76   25.2   75.4   98.4  294.4  10.56  23.61  0.20  0.79    62    26    21    31.3    93.5  10.56    47/   13
UVIX     13.22  Apr  20       2.31   20.1   77.9   81.2  315.3  11.01  22.16  0.17  0.68    61    26    21    24.0    93.3  11.01    45/   13
KALV     12.83  Feb  12.5     3.10   26.7  313.8   26.7  313.8   9.83  15.45  0.23  0.20    67    52    38     7.8    92.3   9.83    27/   99
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
UVIX     13.22  Jun  24       2.83   26.0   60.5  128.3  298.3  10.49  26.68  0.21  1.02    61    24    20    39.5    91.7  10.49    48/   13
UVIX     13.22  Mar  18       1.74   14.2   87.6   55.0  340.3  11.58  19.59  0.12  0.48    60    27    22    14.5    89.7  11.58    39/   13
UVIX     13.22  Jun  23       2.94   27.4   63.6  121.1  281.5  10.38  25.79  0.21  0.95    61    25    21    38.3    89.1  10.38    48/   13
UVIX     13.22  May  20       2.87   26.5   79.3   90.9  272.0  10.45  22.72  0.21  0.72    63    29    23    29.8    89.1  10.45    46/   13
CYTK     81.19  Jan+ 83.5     5.20    6.7  244.6    9.7  353.1  76.09  88.55  0.06  0.09    66    43    30     2.4    89.0  76.09     2/   81
UVIX     13.22  Apr  19       2.44   21.5   83.5   74.2  288.0  10.88  21.29  0.18  0.61    62    29    23    22.8    88.6  10.88    43/   13
AMLX     15.52  Jun  16       5.90   59.7  138.7   64.1  149.0   9.72  21.75  0.37  0.40    78    48    29    36.5    85.0   9.72    57/   79
UVIX     13.22  Jun  22       3.00   28.1   65.3  112.7  262.0  10.32  24.85  0.22  0.88    62    27    22    36.5    84.8  10.32    46/   13
UVIX     13.22  May  19       3.00   28.1   84.1   83.6  250.2  10.32  21.85  0.22  0.65    63    31    25    28.3    84.6  10.32    44/   13
AMLX     15.52  Jun  20       4.60   40.8   94.9   81.0  188.4  11.02  24.45  0.29  0.58    72    34    22    36.2    84.1  11.02    42/   79
AMLX     15.52  Jun  22.5     4.00   33.6   78.0   93.2  216.7  11.62  26.35  0.25  0.70    69    27    19    36.2    84.1  11.62    38/   79
UVIX     13.22  Apr  18       2.60   23.3   90.6   67.4  261.9  10.72  20.45  0.19  0.55    63    32    25    21.6    83.9  10.72    42/   13
AMLX     15.52  Jun  15       6.20   58.7  136.5   58.7  136.5   9.42  21.05  0.39  0.36    80    52    31    35.3    82.0   9.42    51/   79
AMLX     15.52  May  14       5.90   43.5  130.2   43.5  130.2   9.72  19.75  0.37  0.27    81    58    32    27.3    81.8   9.72    52/   79
UVIX     13.22  Mar+ 17       1.45   11.4   92.2   42.8  347.1  11.87  18.30  0.10  0.38    60    29    23    10.1    81.8  11.87    33/   13
UVIX     13.22  Mar  17       1.88   15.6   96.3   48.2  298.0  11.44  18.73  0.13  0.42    61    31    25    13.1    81.0  11.44    36/   13
AMLX     15.52  Jun  25       3.40   27.0   62.8  104.2  242.2  12.22  28.25  0.21  0.82    66    21    16    34.8    80.9  12.22    35/   79
UVIX     13.22  Feb  16       1.24    9.4  111.1   32.0  377.2  12.08  17.09  0.09  0.29    60    30    24     6.9    80.8  12.08    32/   13
UVIX     13.22  Jun  21       3.10   29.4   68.2  105.0  244.1  10.22  23.95  0.23  0.81    62    29    24    34.8    80.8  10.22    44/   13
UVIX     13.22  Feb+ 16.5     1.34   10.4   99.4   37.3  358.4  11.98  17.69  0.09  0.34    60    29    24     8.4    80.3  11.98    32/   13
AMLX     15.52  May  17       4.60   40.8  122.2   53.8  161.0  11.02  21.45  0.29  0.38    74    43    27    26.8    80.2  11.02    43/   79
CYTK     81.19  Jan+ 82       5.70    7.4  270.4    8.4  307.1  75.59  87.55  0.07  0.08    67    48    32     2.2    78.5  75.59     0/   81
ALT      10.80  Mar  14       1.65   16.8  103.7   50.9  314.8   9.25  15.50  0.14  0.44    60    34    28    12.7    78.5   9.25    -0/   77
AMLX     15.52  May  18       4.20   35.9  107.4   57.2  171.1  11.42  22.05  0.26  0.42    72    39    25    26.2    78.4  11.42    39/   79
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
AMLX     15.52  May  20       3.60   29.1   87.1   66.0  197.4  12.02  23.45  0.23  0.51    69    32    22    26.2    78.3  12.02    35/   79
UVIX     13.22  May  18       3.10   29.4   87.8   75.6  226.3  10.22  20.95  0.23  0.58    64    34    26    26.1    78.2  10.22    42/   13
UVIX     13.22  Jun  20       3.25   31.3   72.7   98.1  228.1  10.07  23.10  0.24  0.75    63    31    25    33.5    78.0  10.07    44/   13
AMLX     15.52  Jun  14       6.50   53.0  123.1   53.0  123.1   9.12  20.35  0.41  0.31    81    57    33    33.5    77.8   9.12    54/   79
UVIX     13.22  Apr  17       2.76   25.2   97.8   60.5  235.0  10.56  19.61  0.20  0.48    64    35    27    20.0    77.8  10.56    39/   13
UVIX     13.22  Mar+ 16.5     1.54   12.2   99.2   39.6  321.6  11.78  17.89  0.11  0.35    60    31    25     9.5    77.4  11.78    31/   13
IOVA      8.37  Mar  10       1.60   21.8  135.1   44.8  277.4   6.87  11.45  0.18  0.37    62    39    31    12.5    77.4   6.87    28/   99
AMLX     15.52  May  25       2.50   18.3   54.7   90.2  269.8  13.12  27.35  0.15  0.76    62    18    14    25.8    77.2  13.12    30/   79
AMLX     15.52  May  26       2.35   17.0   50.7   95.6  285.9  13.27  28.20  0.14  0.82    62    16    13    25.8    77.1  13.27    29/   79
AMLX     15.52  May  23       2.85   21.5   64.4   79.7  238.5  12.77  25.70  0.18  0.66    64    23    17    25.7    76.9  12.77    31/   79
CYTK     81.19  Jan+ 80       6.70    7.2  262.3    7.2  262.3  74.59  86.55  0.08  0.07    70    54    35     2.1    76.2  74.59    -6/   81
AMLX     15.52  May  28       2.05   14.4   43.0  106.0  317.0  13.57  29.90  0.13  0.93    60    13    11    25.4    76.0  13.57    27/   79
AMLX     15.52  Jun  30       2.45   17.8   41.5  127.4  296.2  13.17  32.30  0.15  1.08    61    14    11    32.3    75.0  13.17    29/   79
UVIX     13.22  Jun  19       3.40   33.3   77.3   91.0  211.6   9.92  22.25  0.25  0.68    64    33    26    32.2    74.8   9.92    43/   13
IRBT     30.21  Feb  31       5.20   20.3  239.1   23.3  273.8  25.11  36.05  0.17  0.19    66    48    35     6.3    74.7  25.11    82/  100
UVIX     13.22  May  17       3.30   31.9   95.5   69.2  206.9  10.02  20.15  0.24  0.52    65    37    28    24.9    74.3  10.02    41/   13
AMLX     15.52  May  27       2.10   14.8   44.3   99.3  297.2  13.52  28.95  0.13  0.87    60    15    12    24.8    74.2  13.52    26/   79
UVIX     13.22  Feb+ 16       1.42   11.1  106.5   34.0  326.9  11.90  17.27  0.10  0.31    60    32    26     7.7    74.2  11.90    30/   13
AMLX     15.52  May  13       6.20   37.5  112.1   37.5  112.1   9.42  19.05  0.39  0.23    83    63    35    24.7    73.9   9.42    51/   79
AMLX     15.52  Jun  12.5     7.10   46.1  107.2   46.1  107.2   8.52  19.45  0.45  0.25    84    64    35    31.7    73.7   8.52    52/   79
RLMD      3.27  Jan'25 7.5    1.05   40.9   40.7  221.1  219.9   2.32   8.40  0.29  1.57    62    23    20    72.6    72.2   2.32    45/   36
AMLX     15.52  May  12       6.70   34.0  101.6   34.0  101.6   8.92  18.55  0.43  0.20    85    69    37    24.0    71.8   8.92    55/   79
UVIX     13.22  Mar  16       2.05   17.3  107.0   41.5  256.9  11.27  17.90  0.15  0.35    62    35    28    11.6    71.8  11.27    32/   13
ALT      10.80  Mar  13       1.90   20.0  123.8   44.0  272.0   9.00  14.75  0.17  0.37    62    38    31    11.6    71.7   9.00     4/   77
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
UVIX     13.22  Mar+ 16       1.62   13.0  105.4   36.3  294.6  11.70  17.47  0.11  0.32    61    33    26     8.8    71.6  11.70    29/   13
UVIX     13.22  Apr  16       2.93   27.2  105.8   53.5  207.8  10.39  18.78  0.21  0.42    65    38    29    18.3    71.1  10.39    37/   13
UVIX     13.22  Jun  18       3.55   35.3   82.1   83.7  194.6   9.77  21.40  0.26  0.62    64    35    28    30.3    70.4   9.77    41/   13
IRBT     30.21  Feb  35       3.40   12.3  144.4   29.9  351.8  26.91  38.25  0.11  0.27    60    37    30     6.0    70.3  26.91    68/  100
IRBT     30.21  Feb  33       4.20   15.7  184.9   26.2  308.4  26.11  37.05  0.14  0.23    63    42    33     5.9    70.0  26.11    70/  100
AMLX     15.52  Jun  11       7.80   40.0   93.1   40.0   93.1   7.82  18.65  0.50  0.20    87    72    38    30.0    69.8   7.82    66/   79
WOLF     32.73  Feb+ 36       1.90    5.8  125.0   16.2  348.5  30.93  37.75  0.05  0.15    61    32    25     3.2    69.5  30.93    51/   98
ANVS     11.85  Jul  12.5     5.40   80.9  159.6   90.1  177.7   6.55  17.75  0.45  0.50    65    49    40    35.2    69.4   6.55   849/  100
AMLX     15.52  Aug  17       6.00   61.3  105.1   76.2  130.6   9.62  22.85  0.38  0.47    75    45    29    40.3    69.1   9.62    32/   79
WOLF     32.73  Feb+ 35       2.25    7.0  151.0   14.3  306.8  30.58  37.10  0.07  0.13    63    37    27     3.2    68.4  30.58    52/   98
UVIX     13.22  Feb+ 15.5     1.52   12.0  115.6   30.9  297.1  11.80  16.87  0.11  0.28    61    35    27     7.1    68.0  11.80    28/   13
UVIX     13.22  May  16       3.45   33.9  101.5   61.6  184.3   9.87  19.30  0.25  0.46    66    40    30    22.6    67.7   9.87    38/   13
UVIX     13.22  Feb+ 15       1.18    8.9  135.3   23.1  352.0  12.14  16.03  0.08  0.21    60    35    28     4.4    67.1  12.14    27/   13
IOVA      8.37  Mar  9        1.90   27.4  169.5   36.2  224.1   6.57  10.75  0.22  0.28    65    45    34    10.8    66.7   6.57    26/   99
DWAC     22.35  Jan+ 24       1.19    5.1  187.1   12.7  461.8  21.26  25.04  0.05  0.12    60    36    28     1.8    66.6  21.26   105/   51
AMLX     15.52  Jun  10       8.30   35.9   83.5   35.9   83.5   7.32  18.15  0.53  0.17    90    77    40    28.4    66.1   7.32    54/   79
UVIX     13.22  Jun  17       3.70   37.4   87.0   76.2  177.1   9.62  20.55  0.27  0.55    65    38    30    28.4    65.9   9.62    40/   13
UVIX     13.22  Mar+ 15.5     1.72   14.0  113.3   33.2  269.2  11.60  17.07  0.12  0.29    62    36    28     8.1    65.9  11.60    28/   13
