COVERED CALL WRITES: CASH

Column Headings:
  Symb:    underlying symbol
  Stk:     closing price of underlying
  Opt:     option base symbol
  StrkMn   strike (numeric) and Month (alpha) of written option
  Call:    bid price of call being sold
  RIUC:    Raw Return, if unchanged, cash
  ARIUC:   Annualized Return, if unchanged, cash
  RIEC:    Raw Return, if exercised, cash
  ARIEC:   Annualized Return, if exercised, cash
  DBEC:    Downside breakeven point, cash
  UBEC:    UPSIDE breakeven point, cash
            i.e., the point above which stock outperforms covered write
  %DBE:    Percent distance from Stk price down to DBEC
  %UBE:    Percent distance from Stk price UP to UBEC
  PrDBE:   Prob. of CLOSING above DBE at expiration
  PrRIE:   Prob. of CLOSING above Striking Price at expiration
            i.e., Prob. of stock being called away
  PrUBE:   Prob. of CLOSING above UBE at expiration
  ERTN:    Raw EXPECTED Return, cash
  AERTNC:  Annualized EXPECTED Return, cash
  Invt:    Investment for cash covered write
  IVF:     Implied Volatility Factor
           = 100*(IV this option/avg IV for this stock - 1)
           => large positive numbers are most expensive options
NOTE: all returns and investment assume 5 cent commission on stock & option

  While we endeavor to make our data reliable, errors are always possible.
  Therefore, make sure you check the actual price of the option with a price
    quotation system or with your broker before actually entering an order.
  If the returns from the covered write look "too good," be suspicous.
  It is likely, in that case, that some data is in error.
  McMillan Analysis Corp. is not responsible for errors in this data,
    nor is it liable for losses incurred due to errors in this report.
  Accuracy and completeness are not guaranteed.

Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
BSX      60.25  Aug  32.5    28.60    2.2    3.8    2.2    3.8  31.75  60.95  0.47  0.01   100   100    48     2.2     3.8  31.75   215/   19
BSX      60.25  May  37.5    23.30    1.1    3.2    1.1    3.2  37.05  60.65  0.39  0.01   100   100    48     1.1     3.2  37.05   161/   19
BSX      60.25  May  40      20.80    1.0    3.0    1.0    3.0  39.55  60.65  0.34  0.01   100   100    48     1.0     3.0  39.55   141/   19
BRKB    361.10  Jun  285     81.60    1.9    4.4    1.9    4.4 279.60 366.45  0.23  0.01   100    99    44     1.9     4.4 279.60   122/   13
BSX      60.25  Jun  30      30.80    1.4    3.1    1.4    3.1  29.55  60.65  0.51  0.01   100   100    48     1.4     3.1  29.55   210/   19
BSX      60.25  Jun'25 30    32.10    6.0    4.2    6.0    4.2  28.25  61.95  0.53  0.03   100    99    46     6.0     4.2  28.25   136/   19
VGT     482.39  May  350    136.50    1.1    3.4    1.1    3.4 345.99 486.35  0.28  0.01   100    99    47     1.1     3.4 345.99   121/   13
AAPL    183.63  May  115     70.25    1.3    3.9    1.3    3.9 113.48 185.10  0.38  0.01   100   100    48     1.3     3.9 113.48   183/   14
AAPL    183.63  Jun  115     70.85    1.8    4.3    1.8    4.3 112.88 185.70  0.39  0.01   100   100    47     1.8     4.3 112.88   164/   14
CDNS    277.56  Jan'25 120  161.50    3.3    3.2    3.3    3.2 116.16 281.35  0.58  0.01   100   100    48     3.2     3.2 116.16   132/   34
AAPL    183.63  May  105     79.95    1.1    3.4    1.1    3.4 103.78 184.80  0.43  0.01   100   100    48     1.1     3.4 103.78   227/   14
AAPL    183.63  Jun  105     80.35    1.5    3.5    1.5    3.5 103.38 185.20  0.44  0.01   100   100    48     1.5     3.5 103.38   202/   14
AAPL    183.63  May  110     74.95    1.1    3.2    1.1    3.2 108.78 184.80  0.41  0.01   100   100    48     1.1     3.2 108.78   200/   14
BRKB    361.10  Jun  280     86.50    1.9    4.4    1.9    4.4 274.70 366.35  0.24  0.01   100   100    44     1.9     4.4 274.70   130/   13
PDD     143.16  Jun  75      69.80    2.0    4.7    2.0    4.7  73.46 144.65  0.49  0.01   100   100    48     2.0     4.7  73.46   109/    0
PDD     143.16  May  75      69.10    1.1    3.2    1.1    3.2  74.16 143.95  0.48  0.01   100   100    49     1.1     3.2  74.16   115/    0
PDD     143.16  Jun  70      74.50    1.7    4.0    1.7    4.0  68.76 144.35  0.52  0.01   100   100    49     1.7     4.0  68.76   121/    0
PDD     143.16  Apr  85      59.00    0.8    3.2    0.8    3.2  84.26 143.85  0.41  0.00   100   100    49     0.8     3.2  84.26   102/    0
PDD     143.16  Jun  80      65.10    2.3    5.3    2.3    5.3  78.16 144.95  0.45  0.01   100    99    48     2.3     5.3  78.16    98/    0
PDD     143.16  May  80      64.25    1.2    3.6    1.2    3.6  79.01 144.10  0.45  0.01   100   100    49     1.2     3.5  79.01   102/    0
PDD     143.16  Jun  65      79.30    1.5    3.6    1.5    3.6  63.96 144.15  0.55  0.01   100   100    49     1.5     3.6  63.96   133/    0
BRKB    361.10  Jun  270     96.00    1.8    4.2    1.8    4.2 265.20 365.85  0.27  0.01   100   100    45     1.8     4.2 265.20   147/   13
BRKB    361.10  Sep  270    100.00    3.3    4.9    3.3    4.9 261.20 369.85  0.28  0.02   100    99    42     3.3     4.9 261.20   131/   13
BRKB    361.10  Jun  275     91.20    1.8    4.3    1.8    4.3 270.00 366.05  0.25  0.01   100   100    44     1.8     4.2 270.00   139/   13
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
WDAY    280.89  Jun  165    118.30    1.4    3.2    1.4    3.2 162.69 283.15  0.42  0.01   100   100    48     1.4     3.2 162.69   113/    4
WDAY    280.89  Jun  170    113.50    1.5    3.4    1.5    3.4 167.49 283.35  0.40  0.01   100    99    48     1.4     3.4 167.49   105/    4
BRKB    361.10  Jun  265    101.00    1.8    4.2    1.8    4.2 260.20 365.85  0.28  0.01   100   100    45     1.8     4.2 260.20   157/   13
SPY     474.93  Jan+ 454     21.51    0.1    4.3    0.1    4.3 453.52 475.36  0.05  0.00   100    99    48     0.1     4.2 453.52   104/    3
MSFT    390.27  Feb+ 335     56.00    0.2    3.7    0.2    3.7 334.37 390.85  0.14  0.00   100   100    49     0.2     3.7 334.37   140/   29
AAPL    183.63  Feb+ 155     29.00    0.1    3.1    0.1    3.1 154.73 183.85  0.16  0.00   100   100    49     0.1     3.0 154.73   152/   14
DE      385.35  Mar  290     97.30    0.6    3.9    0.6    3.9 288.15 387.15  0.25  0.00   100   100    48     0.6     3.8 288.15   120/   15
AAPL    183.63  Mar  145     39.80    0.7    4.4    0.7    4.4 143.93 184.65  0.22  0.01   100    99    48     0.7     4.3 143.93   119/   14
AAPL    183.63  Feb+ 150     34.30    0.3    3.3    0.3    3.3 149.43 184.15  0.19  0.00   100   100    48     0.3     3.3 149.43   112/   14
AAPL    183.63  Feb+ 155     29.15    0.2    3.6    0.2    3.6 154.58 184.00  0.16  0.00   100   100    49     0.2     3.6 154.58   126/   14
AAPL    183.63  Feb+ 160     24.10    0.2    4.3    0.2    4.3 159.63 183.95  0.13  0.00   100   100    49     0.2     4.3 159.63   121/   14
MSFT    390.27  Feb  320     71.35    0.3    3.4    0.3    3.4 319.02 391.20  0.18  0.00   100   100    49     0.3     3.4 319.02   123/   29
SPY     474.93  Jan+ 452     23.91    0.2    6.7    0.2    6.7 451.12 475.76  0.05  0.00   100    99    46     0.2     6.6 451.12   116/    3
AAPL    183.63  Feb  155     29.25    0.3    3.6    0.3    3.6 154.48 184.10  0.16  0.00   100    99    48     0.3     3.5 154.48   102/   14
AAPL    183.63  Feb+ 157.5   26.55    0.2    3.7    0.2    3.7 157.18 183.90  0.14  0.00   100   100    49     0.2     3.7 157.18   135/   14
SPY     474.93  Jan+ 453     22.50    0.1    4.2    0.1    4.2 452.53 475.35  0.05  0.00   100   100    48     0.1     4.2 452.53   111/    3
VGT     482.39  May  335    151.00    1.0    3.1    1.0    3.1 331.49 485.85  0.31  0.01   100   100    48     1.0     3.1 331.49   138/   13
AAPL    183.63  May  120     65.45    1.4    4.2    1.4    4.2 118.28 185.30  0.36  0.01   100   100    47     1.4     4.2 118.28   166/   14
AAPL    183.63  Jun  120     66.00    1.9    4.4    1.9    4.4 117.73 185.85  0.36  0.01   100   100    47     1.9     4.4 117.73   150/   14
AAPL    183.63  Apr  125     59.85    0.9    3.4    0.9    3.4 123.88 184.70  0.33  0.01   100   100    48     0.9     3.3 123.88   164/   14
CDNS    277.56  Jan'25 110  171.00    3.1    3.1    3.1    3.1 106.66 280.85  0.62  0.01   100   100    49     3.1     3.1 106.66   147/   34
JPM     167.99  Mar  135     34.10    0.7    4.4    0.7    4.4 133.99 168.95  0.20  0.01   100   100    47     0.7     4.4 133.99   109/    0
VGT     482.39  May  340    146.00    1.0    3.1    1.0    3.1 336.49 485.85  0.30  0.01   100   100    48     1.0     3.1 336.49   130/   13
AAPL    183.63  May  125     60.60    1.5    4.4    1.5    4.4 123.13 185.45  0.33  0.01   100   100    47     1.5     4.4 123.13   150/   14
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
AAPL    183.63  Apr  135     50.45    1.3    4.9    1.3    4.9 133.28 185.30  0.27  0.01   100   100    47     1.2     4.8 133.28   133/   14
AAPL    183.63  Mar  140     44.65    0.6    3.9    0.6    3.9 139.08 184.50  0.24  0.00   100   100    48     0.6     3.9 139.08   138/   14
AAPL    183.63  Mar+ 145     39.40    0.4    3.5    0.4    3.5 144.33 184.25  0.21  0.00   100   100    48     0.4     3.5 144.33   126/   14
AAPL    183.63  Jun  125     61.25    2.0    4.7    2.0    4.7 122.48 186.10  0.33  0.01   100    99    46     2.0     4.6 122.48   136/   14
AAPL    183.63  Apr  130     55.25    1.1    4.4    1.1    4.4 128.48 185.10  0.30  0.01   100   100    47     1.1     4.4 128.48   150/   14
AAPL    183.63  May  130     55.80    1.6    4.7    1.6    4.7 127.93 185.65  0.30  0.01   100   100    47     1.6     4.7 127.93   136/   14
PDD     143.16  May  85      59.50    1.4    4.3    1.4    4.3  83.76 144.35  0.41  0.01   100   100    48     1.4     4.2  83.76    91/    0
IGV     408.56  May  305    107.50    1.3    3.8    1.3    3.8 301.16 412.35  0.26  0.01   100   100    47     1.3     3.7 301.16   101/    7
IGV     408.56  May  310    102.50    1.2    3.7    1.2    3.7 306.16 412.35  0.25  0.01   100    99    47     1.2     3.7 306.16    94/    7
QQQM    168.57  Mar  125     44.50    0.6    3.9    0.6    3.9 124.17 169.35  0.26  0.00   100   100    48     0.6     3.9 124.17   143/   27
IGV     408.56  Aug  290    126.50    2.8    4.7    2.8    4.7 282.16 416.35  0.31  0.02   100    99    45     2.7     4.7 282.16   104/    7
IGV     408.56  May  295    117.00    1.1    3.4    1.1    3.4 291.66 411.85  0.29  0.01   100   100    47     1.1     3.4 291.66   112/    7
IGV     408.56  May  300    112.00    1.1    3.3    1.1    3.3 296.66 411.85  0.27  0.01   100   100    47     1.1     3.3 296.66   107/    7
QQQM    168.57  Jun  115     55.80    1.8    4.3    1.8    4.3 112.87 170.65  0.33  0.01   100    99    47     1.8     4.2 112.87   120/   27
QQQM    168.57  Jun  105     65.40    1.6    3.8    1.6    3.8 103.27 170.25  0.39  0.01   100   100    47     1.6     3.8 103.27   150/   27
QQQM    168.57  Mar  105     64.30    0.6    3.4    0.6    3.4 104.37 169.15  0.38  0.00   100   100    49     0.6     3.4 104.37   236/   27
QQQM    168.57  Jun  100     70.40    1.7    4.0    1.7    4.0  98.27 170.25  0.42  0.01   100   100    47     1.7     4.0  98.27   168/   27
QQQM    168.57  Mar  115     54.40    0.6    3.7    0.6    3.7 114.27 169.25  0.32  0.00   100   100    48     0.6     3.7 114.27   187/   27
QQQM    168.57  Jun  110     60.60    1.7    4.0    1.7    4.0 108.07 170.45  0.36  0.01   100   100    47     1.7     4.0 108.07   136/   27
QQQM    168.57  Mar  110     59.30    0.5    3.3    0.5    3.3 109.37 169.15  0.35  0.00   100   100    49     0.5     3.3 109.37   211/   27
IGV     408.56  May  290    122.00    1.1    3.4    1.1    3.4 286.66 411.85  0.30  0.01   100   100    47     1.1     3.4 286.66   120/    7
QQQM    168.57  Mar  130     39.60    0.7    4.2    0.7    4.2 129.07 169.45  0.23  0.01   100   100    48     0.7     4.2 129.07   122/   27
ROP     537.27  Dec  330    217.00    3.0    3.2    3.0    3.2 320.37 546.85  0.40  0.02   100    99    46     3.0     3.2 320.37   145/   21
IGV     408.56  Aug  260    154.50    2.3    3.9    2.3    3.9 254.16 414.35  0.38  0.01   100   100    46     2.3     3.9 254.16   132/    7
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
QQQM    168.57  Feb  140     29.10    0.3    3.2    0.3    3.2 139.57 168.95  0.17  0.00   100   100    49     0.3     3.2 139.57   107/   27
QQQM    168.57  Feb  135     34.10    0.3    3.3    0.3    3.3 134.57 168.95  0.20  0.00   100   100    49     0.3     3.3 134.57   139/   27
IEFA     68.80  Jun  45      24.60    1.5    3.4    1.5    3.4  44.30  69.45  0.36  0.01   100   100    47     1.5     3.4  44.30   179/   33
