COVERED CALL WRITES: MARGIN

NOTE: It is possible to have zero or negative investment
      in a margin covered write.  Where that happens, the
      returns are arbitrarily set to 999%
      ALSO, it should be noted that stocks selling for
      less than $5 per share may not be marginable.

Column Headings:
  Symb:    underlying symbol
  Stk:     closing price of underlying
  Opt:     option base symbol
  StrkMn   strike (numeric) and Month (alpha) of written option
  Call:    bid price of call being sold
  RIUM:    Raw Return, if unchanged, margin
  ARIUM:   Annualized Return, if unchanged, margin
  RIEM:    Raw Return, if exercised, margin
  ARIEM:   Annualized Return, if exercised, margin
  DBEM:    Downside breakeven point, margin
  UBEM:    UPSIDE breakeven point, margin
            i.e., the point above which stock outperforms covered write
  %DBE:    Percent distance from Stk price down to DBEC
  %UBE:    Percent distance from Stk price UP to UBEC
  PrDBE:   Prob. of CLOSING above DBE at expiration
  PrRIE:   Prob. of CLOSING above Striking Price at expiration
            i.e., Prob. of stock being called away
  PrUBE:   Prob. of CLOSING above UBE at expiration
  ERTN:    Raw EXPECTED Return, margin
  AERTNM:  Annualized EXPECTED Return, margin
  Invt:    Investment for margin covered write
  IVF:     Implied Volatility Factor
           = 100*(IV this option/avg IV for this stock - 1)
           => large positive numbers are most expensive options
  Mgnint:  Margin interest paid (rate = T-Bill rate + 3%)
  Debit:   Debit balance (amount borrowed from broker)
NOTE: all returns and investment assume 5 cent commission on stock & option

  While we endeavor to make our data reliable, errors are always possible.
  Therefore, make sure you check the actual price of the option with a price
    quotation system or with your broker before actually entering an order.
  If the returns from the covered write look "too good," be suspicous.
  It is likely, in that case, that some data is in error.
  McMillan Analysis Corp. is not responsible for errors in this data,
    nor is it liable for losses incurred due to errors in this report.
  Accuracy and completeness are not guaranteed.

Symb     Stk    Opt  StrkMn   Call   RIUM  ARIUM   RIEM  ARIEM   DBEM   UBEM  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNM   Invt   IVF  Mgnint  Debit
RS      278.59  Mar  200     79.80    0.4    2.6    0.4    2.6 198.24 279.00  0.29  0.00   100   100    49     0.4     2.5  98.86    84   0.65 100.03
RS      278.59  Feb  200     79.30    0.2    2.6    0.2    2.6 199.05 278.81  0.29  0.00   100   100    50     0.2     2.6  99.36   141   0.34 100.03
META    367.46  Feb+ 270     98.65    0.5    7.8    0.5    7.8 268.55 368.14  0.27  0.00   100   100    49     0.5     7.8 133.88   134   0.36 135.02
META    367.46  Feb+ 270     98.30    0.3    7.0    0.3    7.0 269.01 367.90  0.27  0.00   100   100    49     0.3     7.0 134.24   163   0.25 135.02
PDD     143.16  Apr  90      54.20    1.0    3.8    1.0    3.8  88.60 143.59  0.38  0.00   100   100    49     0.9     3.6  44.04    89   0.46  45.03
PDD     143.16  May  85      59.50    1.5    4.5    1.5    4.5  83.19 143.78  0.42  0.00   100   100    49     1.5     4.4  41.24    91   0.57  42.53
PDD     143.16  Apr  85      59.00    0.6    2.3    0.6    2.3  83.82 143.41  0.41  0.00   100   100    50     0.6     2.3  41.74   102   0.44  42.53
CRM     269.19  Mar  195     75.45    0.5    3.1    0.5    3.1 193.21 269.67  0.28  0.00   100   100    49     0.5     3.1  96.32   124   0.63  97.53
UBER     63.65  Apr  37.5    26.65    0.9    3.3    0.9    3.3  36.91  63.81  0.42  0.00   100   100    50     0.8     3.2  18.33    96   0.19  18.77
META    367.46  Feb+ 275     93.10    0.2    3.7    0.2    3.7 274.20 367.69  0.25  0.00   100   100    50     0.2     3.7 136.93   152   0.26 137.52
UBER     63.65  Jun  30      34.25    1.3    3.1    1.3    3.1  29.24  63.84  0.54  0.00   100   100    50     1.3     3.0  14.48   114   0.26  15.02
MDY     494.84  Jun  350    149.50    0.9    2.0    0.9    2.0 342.43 496.34  0.31  0.00   100   100    49     0.9     2.0 170.42   136   3.01 175.02
UBER     63.65  Jun  27.5    36.70    1.2    2.9    1.2    2.9  26.81  63.81  0.58  0.00   100   100    50     1.2     2.9  13.28   138   0.24  13.77
RS      278.59  Feb  210     69.50    0.4    4.6    0.4    4.6 208.83 278.99  0.25  0.00   100   100    49     0.4     4.6 104.16   117   0.36 105.03
META    367.46  Feb+ 270     99.35    0.9    8.5    0.9    8.5 267.65 368.64  0.27  0.00   100   100    49     0.9     8.4 133.18   103   0.56 135.02
META    367.46  Feb  270     99.05    0.7    8.7    0.7    8.7 268.05 368.44  0.27  0.00   100   100    49     0.7     8.6 133.49   118   0.46 135.02
AAPL    183.63  Mar+ 150     34.50    0.5    3.8    0.5    3.8 148.86 183.98  0.19  0.00   100    99    49     0.5     3.7  74.21   105   0.37  75.03
UBER     63.65  Apr  35      29.10    0.7    2.7    0.7    2.7  34.47  63.77  0.46  0.00   100   100    50     0.7     2.7  17.13   121   0.18  17.52
CRM     269.19  Apr  190     80.85    0.6    2.2    0.6    2.2 187.46 269.72  0.30  0.00   100   100    49     0.5     2.1  93.42   107   0.98  95.03
RS      278.59  Feb  195     84.30    0.2    2.8    0.2    2.8 194.06 278.82  0.30  0.00   100   100    50     0.2     2.8  96.86   154   0.33  97.53
MDY     494.84  Jun  365    135.00    1.1    2.4    1.1    2.4 356.80 496.71  0.28  0.00   100    99    49     1.0     2.4 177.42   119   3.14 182.52
CRM     269.19  Jun  155    116.35    0.9    2.1    0.9    2.1 151.61 269.87  0.44  0.00   100   100    49     0.9     2.1  75.42   144   1.33  77.53
RS      278.59  Mar  195     84.70    0.3    2.1    0.3    2.1 193.36 278.92  0.31  0.00   100   100    50     0.3     2.1  96.46    93   0.63  97.53
ORCL    106.57  Mar+ 85      22.10    0.4    3.3    0.4    3.3  84.36 106.74  0.21  0.00   100   100    49     0.4     3.2  42.04   119   0.21  42.53
Symb     Stk    Opt  StrkMn   Call   RIUM  ARIUM   RIEM  ARIEM   DBEM   UBEM  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNM   Invt   IVF  Mgnint  Debit
PDD     143.16  May  75      69.10    0.8    2.4    0.8    2.4  73.66 143.45  0.49  0.00   100   100    50     0.8     2.4  36.64   115   0.50  37.53
VGT     482.39  May  350    136.50    0.9    2.8    0.9    2.8 343.65 484.01  0.29  0.00   100    99    49     0.9     2.7 170.97   121   2.34 175.02
PDD     143.16  May  80      64.25    1.0    3.1    1.0    3.1  78.47 143.56  0.45  0.00   100   100    49     1.0     3.1  38.99   102   0.54  40.03
PDD     143.16  Jun  75      69.80    2.3    5.5    2.3    5.5  72.81 144.00  0.49  0.01   100   100    49     2.3     5.4  35.93   109   0.65  37.53
CRM     269.19  Mar  185     85.25    0.3    2.1    0.3    2.1 183.44 269.50  0.32  0.00   100   100    50     0.3     2.1  91.51   149   0.60  92.53
ABBV    161.48  Feb+ 143     18.85    0.1    2.6    0.1    2.6 142.60 161.57  0.12  0.00   100    99    50     0.1     2.4  71.20   151   0.13  71.53
PDD     143.16  Jun  80      65.10    2.9    6.7    2.9    6.7  77.47 144.26  0.46  0.01   100    99    49     2.8     6.6  38.14    98   0.69  40.03
CRM     269.19  May  185     86.65    1.2    3.6    1.2    3.6 181.40 270.26  0.33  0.00   100    99    49     1.1     3.4  90.11   105   1.24  92.53
CRM     269.19  May  180     91.20    0.7    2.2    0.7    2.2 176.89 269.85  0.34  0.00   100   100    49     0.7     2.2  88.07   112   1.20  90.03
CRM     269.19  Jun  165    106.80    1.3    3.0    1.3    3.0 161.07 270.23  0.40  0.00   100   100    49     1.3     3.0  79.96   126   1.42  82.53
CRM     269.19  Jun  160    111.55    1.1    2.5    1.1    2.5 156.36 270.02  0.42  0.00   100   100    49     1.1     2.5  77.71   135   1.38  80.03
CRM     269.19  Jun  175     97.60    2.1    4.8    2.1    4.8 170.18 270.94  0.37  0.01   100    99    48     2.0     4.7  84.17   115   1.51  87.53
CRM     269.19  Jun  170    102.05    1.5    3.5    1.5    3.5 165.78 270.44  0.38  0.00   100   100    49     1.5     3.5  82.21   120   1.46  85.03
META    367.46  Jan+ 295     72.90    0.1    3.2    0.1    3.2 294.50 367.59  0.20  0.00   100   100    50     0.1     3.2 147.13   135   0.16 147.52
AAPL    183.63  Apr  125     59.85    0.7    2.7    0.7    2.7 123.24 184.06  0.33  0.00   100   100    49     0.7     2.7  61.36   164   0.64  62.53
AAPL    183.63  May  125     60.60    1.6    4.9    1.6    4.9 122.29 184.61  0.33  0.01   100   100    48     1.6     4.8  60.61   150   0.84  62.53
