,Scores
0,995.0
1,1120.0
2,1108.0
3,1104.0
4,1115.0
5,1186.0
6,1147.0
7,1013.0
8,844.0
9,917.0
10,1168.0
11,937.0
12,913.0
13,979.0
14,1137.0
15,1114.0
16,950.0
17,983.0
18,1085.0
19,1017.0
20,1057.0
21,1231.0
22,1331.0
23,1299.0
24,1070.0
25,1047.0
26,1078.0
27,1046.0
28,870.0
29,1027.0
30,1149.0
31,1055.0
32,939.0
33,1208.0
34,1373.0
35,887.0
36,846.0
37,819.0
38,1498.0
39,1167.0
40,878.0
41,1242.0
42,1302.0
43,936.0
44,1096.0
45,982.0
46,1235.0
47,1480.0
48,827.0
49,1313.0
50,1309.0
51,928.0
52,1185.0
53,959.0
54,1135.0
55,979.0
56,893.0
57,1272.0
58,1133.0
59,761.0
60,1048.0
61,792.0
62,1174.0
63,1091.0
64,1146.0
65,1160.0
66,1215.0
67,1159.0
68,858.0
69,971.0
70,960.0
71,1182.0
72,1330.0
73,824.0
74,1126.0
75,929.0
76,1134.0
77,1164.0
78,1095.0
79,1062.0
80,787.0
81,1127.0
82,1112.0
83,1064.0
84,1313.0
85,1249.0
86,1291.0
87,1297.0
88,936.0
89,1107.0
90,1098.0
91,1064.0
92,1091.0
93,1161.0
94,921.0
95,1318.0
96,1233.0
97,921.0
98,1015.0
99,1156.0
100,1059.0
101,1126.0
102,921.0
103,1139.0
104,1200.0
105,1388.0
106,917.0
107,1083.0
108,1370.0
109,1206.0
110,1026.0
111,1269.0
112,922.0
113,1354.0
114,863.0
115,1053.0
116,1019.0
117,1169.0
118,1323.0
119,948.0
120,1091.0
121,846.0
122,1376.0
123,1167.0
124,1123.0
125,1320.0
126,1125.0
127,989.0
128,1077.0
129,1079.0
130,1111.0
131,1210.0
132,1045.0
133,802.0
134,1085.0
135,924.0
136,956.0
137,1191.0
138,1343.0
139,1146.0
140,1066.0
141,775.0
142,1415.0
143,925.0
144,1119.0
145,1130.0
146,1200.0
147,1176.0
148,746.0
149,957.0
150,1104.0
151,1082.0
152,1144.0
153,1118.0
154,1162.0
155,897.0
156,1153.0
157,1083.0
158,889.0
159,1160.0
160,1053.0
161,948.0
162,1022.0
163,1202.0
164,957.0
165,1043.0
166,1206.0
167,1170.0
168,1320.0
169,1368.0
170,1292.0
171,1055.0
172,748.0
173,842.0
174,884.0
175,1428.0
176,934.0
177,973.0
178,536.0
179,990.0
180,852.0
181,935.0
182,1056.0
183,1099.0
184,1077.0
185,1141.0
186,1062.0
187,962.0
188,1090.0
189,1244.0
190,1071.0
191,1175.0
192,833.0
193,761.0
194,1264.0
195,1212.0
196,1103.0
197,908.0
198,1045.0
199,1153.0
200,1156.0
201,981.0
202,815.0
203,949.0
204,1212.0
205,1177.0
206,965.0
207,1080.0
208,1043.0
209,1024.0
210,1074.0
211,1391.0
212,808.0
213,1051.0
214,1324.0
215,1227.0
216,1198.0
217,1237.0
218,1278.0
219,1248.0
220,1007.0
221,1235.0
222,1382.0
223,894.0
224,1357.0
225,918.0
226,772.0
227,1310.0
228,1151.0
229,960.0
230,1132.0
231,1113.0
232,1321.0
233,1184.0
234,1007.0
235,1061.0
236,1411.0
237,1054.0
238,1198.0
239,1021.0
240,1160.0
241,880.0
242,962.0
243,1080.0
244,1181.0
245,1505.0
246,1207.0
247,679.0
248,826.0
249,1326.0
250,1099.0
251,1191.0
252,1375.0
253,1362.0
254,886.0
255,900.0
256,1153.0
257,893.0
258,1215.0
259,937.0
260,1307.0
261,1157.0
262,912.0
263,1033.0
264,821.0
265,769.0
266,1082.0
267,1073.0
268,1267.0
269,1150.0
270,1187.0
271,1356.0
272,872.0
273,1188.0
274,1185.0
275,1051.0
276,828.0
277,1044.0
278,1030.0
279,891.0
280,964.0
281,1184.0
282,1358.0
283,1004.0
284,1088.0
285,890.0
286,1100.0
287,1268.0
288,1089.0
289,1224.0
290,1500.0
291,949.0
292,1092.0
293,1508.0
294,1109.0
295,1434.0
296,1184.0
297,1161.0
298,1170.0
299,1248.0
300,1435.0
301,1083.0
302,1169.0
303,1412.0
304,1013.0
305,1150.0
306,1377.0
307,1149.0
308,966.0
309,1108.0
310,1007.0
311,1127.0
312,1019.0
313,1488.0
314,1430.0
315,1144.0
316,999.0
317,1024.0
318,1174.0
319,1007.0
320,1136.0
321,1059.0
322,1123.0
323,902.0
324,1023.0
325,942.0
326,1220.0
327,1035.0
328,1524.0
329,1251.0
330,996.0
331,1460.0
332,1178.0
333,1002.0
334,1237.0
335,1049.0
336,902.0
337,938.0
338,922.0
339,1116.0
340,1476.0
341,1102.0
342,1060.0
343,1562.0
344,752.0
345,1167.0
346,1182.0
347,1349.0
348,902.0
349,942.0
350,1086.0
351,1052.0
352,1263.0
353,652.0
354,824.0
355,960.0
356,747.0
357,1377.0
358,1408.0
359,1381.0
360,852.0
361,1206.0
362,1160.0
363,691.0
364,1038.0
365,1039.0
366,990.0
367,1092.0
368,1173.0
369,1081.0
370,1068.0
371,1208.0
372,994.0
373,882.0
374,932.0
375,1262.0
376,1295.0
377,1273.0
378,1062.0
379,1481.0
380,1108.0
381,1156.0
382,1090.0
383,1541.0
384,1143.0
385,1137.0
386,987.0
387,1038.0
388,899.0
389,939.0
390,893.0
391,1052.0
392,985.0
393,1061.0
394,936.0
395,930.0
396,1347.0
397,1056.0
398,1116.0
399,925.0
400,1490.0
401,909.0
402,1138.0
403,1188.0
404,740.0
405,1240.0
406,1213.0
407,1257.0
408,1054.0
409,959.0
410,854.0
411,949.0
412,983.0
413,1042.0
414,1314.0
415,920.0
416,956.0
417,1297.0
418,983.0
419,1329.0
420,892.0
421,1233.0
422,976.0
423,1009.0
424,947.0
425,1255.0
426,914.0
427,856.0
428,1189.0
429,1064.0
430,934.0
431,1321.0
432,1080.0
433,986.0
434,953.0
435,971.0
436,1097.0
437,960.0
438,943.0
439,909.0
440,961.0
441,984.0
442,915.0
443,1134.0
444,1067.0
445,1137.0
446,1083.0
447,748.0
448,898.0
449,916.0
450,1300.0
451,1195.0
452,1356.0
453,858.0
454,847.0
455,1244.0
456,1018.0
457,926.0
458,1233.0
459,1112.0
460,962.0
461,1050.0
462,928.0
463,1141.0
464,1391.0
465,998.0
466,997.0
467,1372.0
468,964.0
469,1142.0
470,1050.0
471,1232.0
472,1051.0
473,1460.0
474,925.0
475,1011.0
476,1012.0
477,1448.0
478,1597.0
479,1336.0
480,1025.0
481,973.0
482,1014.0
483,1212.0
484,757.0
485,912.0
486,1118.0
487,1162.0
488,1179.0
489,1539.0
490,977.0
491,820.0
492,936.0
493,983.0
494,1009.0
495,848.0
496,1176.0
497,1239.0
498,1059.0
499,724.0
500,998.0
501,953.0
502,1065.0
503,928.0
504,1255.0
505,877.0
506,1146.0
507,964.0
508,1203.0
509,1293.0
510,1046.0
511,1159.0
512,1346.0
513,1034.0
514,1163.0
515,898.0
516,1141.0
517,1278.0
518,1048.0
519,1201.0
520,1219.0
521,1024.0
522,1114.0
523,1129.0
524,1180.0
525,1101.0
526,882.0
527,1000.0
528,950.0
529,1092.0
530,1067.0
531,1131.0
532,1207.0
533,862.0
534,995.0
535,1108.0
536,1101.0
537,932.0
538,928.0
539,1177.0
540,938.0
541,900.0
542,966.0
543,1089.0
544,1419.0
545,970.0
546,943.0
547,1088.0
548,1223.0
549,1150.0
550,864.0
551,1354.0
552,1197.0
553,926.0
554,1190.0
555,961.0
556,1239.0
557,1166.0
558,1038.0
559,1319.0
560,795.0
561,1011.0
562,1231.0
563,1034.0
564,1248.0
565,1103.0
566,1054.0
567,1092.0
568,743.0
569,1153.0
570,892.0
571,1326.0
572,1205.0
573,1020.0
574,1304.0
575,1317.0
576,1097.0
577,1341.0
578,879.0
579,899.0
580,1015.0
581,1146.0
582,1265.0
583,1155.0
584,1351.0
585,1272.0
586,1042.0
587,993.0
588,1283.0
589,1101.0
590,1014.0
591,930.0
592,946.0
593,1104.0
594,1128.0
595,1049.0
596,1413.0
597,1295.0
598,1180.0
599,915.0
600,1119.0
601,965.0
602,1266.0
603,1057.0
604,1170.0
605,1237.0
606,1196.0
607,1107.0
608,1045.0
609,1293.0
610,964.0
611,1226.0
612,939.0
613,1133.0
614,930.0
615,1070.0
616,1092.0
617,1018.0
618,1411.0
619,1325.0
620,1205.0
621,1144.0
622,1010.0
623,1120.0
624,1164.0
625,900.0
626,793.0
627,1323.0
628,937.0
629,1119.0
630,1256.0
631,1276.0
632,1151.0
633,1037.0
634,952.0
635,917.0
636,1150.0
637,994.0
638,1277.0
639,1092.0
640,992.0
641,1189.0
642,929.0
643,1032.0
644,1328.0
645,1152.0
646,1399.0
647,1020.0
648,1242.0
649,1234.0
650,829.0
651,1067.0
652,861.0
653,1081.0
654,1158.0
655,939.0
656,875.0
657,1265.0
658,829.0
659,1340.0
660,1049.0
661,796.0
662,1117.0
663,1006.0
664,862.0
665,900.0
666,1090.0
667,868.0
668,1253.0
669,1177.0
670,1152.0
671,949.0
672,1107.0
673,991.0
674,921.0
675,778.0
676,1122.0
677,1436.0
678,1337.0
679,825.0
680,1196.0
681,811.0
682,1104.0
683,1247.0
684,1179.0
685,949.0
686,1171.0
687,1139.0
688,1254.0
689,905.0
690,1214.0
691,975.0
692,1005.0
693,835.0
694,977.0
695,1392.0
696,1130.0
697,793.0
698,1007.0
699,1315.0
700,1034.0
701,1220.0
702,1135.0
703,1116.0
704,1072.0
705,1310.0
706,1023.0
707,867.0
708,991.0
709,1064.0
710,1136.0
711,1225.0
712,1203.0
713,985.0
714,1350.0
715,1420.0
716,1443.0
717,1206.0
