,Scores
0,1094.0
1,1422.0
2,863.0
3,1152.0
4,1017.0
5,1278.0
6,836.0
7,970.0
8,921.0
9,1351.0
10,1302.0
11,1283.0
12,1047.0
13,1068.0
14,1037.0
15,1343.0
16,824.0
17,1208.0
18,925.0
19,1124.0
20,916.0
21,1116.0
22,958.0
23,1354.0
24,1097.0
25,995.0
26,1269.0
27,966.0
28,1110.0
29,1013.0
30,1067.0
31,1278.0
32,1289.0
33,1214.0
34,914.0
35,1005.0
36,1009.0
37,1190.0
38,1107.0
39,957.0
40,950.0
41,1215.0
42,1026.0
43,966.0
44,955.0
45,1113.0
46,983.0
47,1138.0
48,1141.0
49,1146.0
50,1032.0
51,998.0
52,974.0
53,1382.0
54,1250.0
55,950.0
56,1058.0
57,1105.0
58,1254.0
59,952.0
60,1160.0
61,1598.0
62,1040.0
63,927.0
64,1018.0
65,1282.0
66,1110.0
67,1102.0
68,1096.0
69,796.0
70,1126.0
71,861.0
72,918.0
73,882.0
74,963.0
75,812.0
76,1012.0
77,858.0
78,999.0
79,1036.0
80,1249.0
81,910.0
82,1113.0
83,1083.0
84,851.0
85,1095.0
86,1312.0
87,720.0
88,908.0
89,1344.0
90,1041.0
91,1187.0
92,1297.0
93,978.0
94,755.0
95,993.0
96,1170.0
97,900.0
98,974.0
99,1038.0
100,1177.0
101,1126.0
102,1157.0
103,1157.0
104,1028.0
105,1122.0
106,1199.0
107,1060.0
108,1341.0
109,1167.0
110,941.0
111,1012.0
112,1112.0
113,1019.0
114,959.0
115,810.0
116,1109.0
117,1044.0
118,1125.0
119,845.0
120,1287.0
121,1226.0
122,1062.0
123,1323.0
124,1237.0
125,1048.0
126,1156.0
127,1102.0
128,1404.0
129,1126.0
130,1219.0
131,1055.0
132,1039.0
133,1052.0
134,880.0
135,1059.0
136,1017.0
137,823.0
138,839.0
139,1222.0
140,894.0
141,991.0
142,1133.0
143,1107.0
144,1363.0
145,1070.0
146,986.0
147,1222.0
148,956.0
149,1284.0
150,1307.0
151,1409.0
152,995.0
153,1117.0
154,1103.0
155,1110.0
156,1186.0
157,842.0
158,1347.0
159,1074.0
160,925.0
161,652.0
162,1254.0
163,1117.0
164,963.0
165,1238.0
166,853.0
167,1116.0
168,1477.0
169,1158.0
170,1239.0
171,1253.0
172,772.0
173,919.0
174,1060.0
175,1092.0
176,1049.0
177,1139.0
178,1371.0
179,1331.0
180,891.0
181,1067.0
182,1301.0
183,949.0
184,1193.0
185,1168.0
186,1156.0
187,1353.0
188,1144.0
189,1145.0
190,1125.0
191,1044.0
192,1193.0
193,1093.0
194,882.0
195,1133.0
196,1055.0
197,870.0
198,844.0
199,1355.0
200,1252.0
201,1026.0
202,1252.0
203,1366.0
204,922.0
205,1187.0
206,1047.0
207,965.0
208,1106.0
209,975.0
210,1064.0
211,983.0
212,1055.0
213,1129.0
214,1059.0
215,1382.0
216,1200.0
217,944.0
218,882.0
219,1030.0
220,1226.0
221,691.0
222,1068.0
223,901.0
224,1165.0
225,1234.0
226,1363.0
227,1047.0
228,948.0
229,1123.0
230,817.0
231,1066.0
232,700.0
233,894.0
234,914.0
235,1108.0
236,985.0
237,1062.0
238,1159.0
239,975.0
240,1166.0
241,932.0
242,1031.0
243,888.0
244,906.0
245,1026.0
246,861.0
247,1096.0
248,1229.0
249,1209.0
250,838.0
251,899.0
252,768.0
253,908.0
254,1107.0
255,1379.0
256,1006.0
257,1119.0
258,922.0
259,1005.0
260,1259.0
261,1305.0
262,996.0
263,1666.0
264,1476.0
265,954.0
266,1072.0
267,993.0
268,818.0
269,1154.0
270,1082.0
271,1118.0
272,1024.0
273,1199.0
274,890.0
275,1371.0
276,710.0
277,1041.0
278,984.0
279,1066.0
280,1186.0
281,1235.0
282,946.0
283,1005.0
284,1231.0
285,1124.0
286,1222.0
287,1248.0
288,1034.0
289,855.0
290,1128.0
291,1050.0
292,1139.0
293,883.0
294,1180.0
295,1119.0
296,1198.0
297,1256.0
298,980.0
299,1007.0
300,1029.0
301,1312.0
302,1088.0
303,1108.0
304,1059.0
305,1243.0
306,1080.0
307,735.0
308,1195.0
309,1223.0
310,1039.0
311,1046.0
312,1078.0
313,1183.0
314,1417.0
315,1114.0
316,1065.0
317,1211.0
318,1131.0
319,1458.0
320,1038.0
321,1107.0
322,1068.0
323,1038.0
324,1027.0
325,1093.0
326,1160.0
327,866.0
328,1126.0
329,1302.0
330,1009.0
331,1016.0
332,1300.0
333,1003.0
334,1089.0
335,1310.0
336,1028.0
337,1292.0
338,1100.0
339,1056.0
340,1005.0
341,1183.0
342,1040.0
343,1027.0
344,1002.0
345,882.0
346,886.0
347,981.0
348,1236.0
349,1077.0
350,1110.0
351,1049.0
352,964.0
353,1057.0
354,1197.0
355,1096.0
356,1155.0
357,1203.0
358,1090.0
359,1010.0
360,934.0
361,937.0
362,950.0
363,846.0
364,1041.0
365,1210.0
366,1057.0
367,1071.0
368,1176.0
369,898.0
370,1089.0
371,1275.0
372,857.0
373,1007.0
374,794.0
375,845.0
376,1058.0
377,1136.0
378,1185.0
379,1229.0
