,Scores
0,955.0
1,933.0
2,428.0
3,876.0
4,1137.0
5,806.0
6,992.0
7,1003.0
8,883.0
9,1041.0
10,1208.0
11,818.0
12,1090.0
13,1040.0
14,1136.0
15,884.0
16,1031.0
17,1188.0
18,1011.0
19,844.0
20,922.0
21,762.0
22,1030.0
23,761.0
24,877.0
25,1183.0
26,824.0
27,919.0
28,929.0
29,810.0
30,1131.0
31,882.0
32,982.0
33,1178.0
34,933.0
35,862.0
36,1108.0
37,1235.0
38,959.0
39,1142.0
40,1172.0
41,1101.0
42,958.0
43,679.0
44,950.0
45,800.0
46,1175.0
47,979.0
48,1024.0
49,756.0
50,715.0
51,1077.0
52,1191.0
53,779.0
54,1061.0
55,817.0
56,542.0
57,854.0
58,1010.0
59,856.0
60,582.0
61,1097.0
62,935.0
63,925.0
64,680.0
65,946.0
66,884.0
67,1133.0
68,819.0
69,1212.0
70,768.0
71,1318.0
72,933.0
73,1292.0
74,826.0
75,915.0
76,1100.0
77,1003.0
78,824.0
79,1403.0
80,1039.0
81,1005.0
82,1170.0
83,948.0
84,996.0
85,906.0
86,861.0
87,1073.0
88,1049.0
89,763.0
90,875.0
91,942.0
92,1167.0
93,1108.0
94,971.0
95,738.0
96,589.0
97,960.0
98,792.0
99,782.0
100,628.0
101,927.0
102,843.0
103,908.0
104,1088.0
105,868.0
106,904.0
107,942.0
108,860.0
109,825.0
110,664.0
111,933.0
112,883.0
113,1133.0
114,858.0
115,1070.0
116,756.0
117,823.0
118,845.0
119,1131.0
120,862.0
121,1348.0
122,930.0
123,1017.0
124,1002.0
125,872.0
126,1033.0
127,811.0
128,1101.0
129,1007.0
130,1228.0
131,950.0
132,1138.0
133,612.0
134,768.0
135,996.0
136,528.0
137,997.0
138,1040.0
139,976.0
140,837.0
141,760.0
142,931.0
143,929.0
144,982.0
145,1053.0
146,912.0
147,834.0
148,571.0
149,1179.0
150,726.0
151,1136.0
152,779.0
153,900.0
154,892.0
155,1151.0
156,1194.0
157,930.0
158,807.0
159,904.0
160,768.0
161,1026.0
162,1141.0
163,1199.0
164,812.0
165,876.0
166,656.0
167,821.0
168,953.0
169,1001.0
170,1084.0
171,1155.0
172,960.0
173,1120.0
174,963.0
175,971.0
176,1024.0
177,846.0
178,835.0
179,749.0
180,548.0
181,837.0
182,773.0
183,875.0
184,854.0
185,907.0
186,917.0
187,685.0
188,969.0
189,672.0
190,1140.0
191,695.0
192,1069.0
193,758.0
194,1419.0
195,853.0
196,805.0
197,685.0
198,953.0
199,769.0
200,693.0
201,901.0
202,835.0
203,734.0
204,957.0
205,1140.0
206,668.0
207,1087.0
208,1275.0
209,1020.0
210,953.0
211,830.0
212,1009.0
213,750.0
214,745.0
215,801.0
216,1053.0
217,808.0
218,728.0
219,889.0
220,1027.0
221,1056.0
222,988.0
223,631.0
224,976.0
225,936.0
226,988.0
227,891.0
228,1257.0
229,779.0
230,778.0
231,1046.0
232,964.0
233,921.0
234,1028.0
235,768.0
236,914.0
237,1023.0
238,1047.0
239,663.0
240,1230.0
241,974.0
242,1152.0
243,1159.0
244,1211.0
245,1164.0
246,1239.0
247,675.0
248,889.0
249,977.0
250,1006.0
251,840.0
252,1113.0
253,508.0
254,785.0
255,1025.0
256,825.0
257,931.0
258,766.0
259,969.0
260,1185.0
261,830.0
