,Scores
0,944.0
1,815.0
2,844.0
3,1131.0
4,1083.0
5,1002.0
6,1089.0
7,1047.0
8,1067.0
9,929.0
10,925.0
11,960.0
12,986.0
13,910.0
14,990.0
15,986.0
16,893.0
17,1072.0
18,882.0
19,950.0
20,1315.0
21,1003.0
22,915.0
23,998.0
24,1133.0
25,849.0
26,899.0
27,913.0
28,1004.0
29,800.0
30,1143.0
31,820.0
32,939.0
33,937.0
34,801.0
35,1111.0
36,834.0
37,878.0
38,1001.0
39,747.0
40,921.0
41,883.0
42,759.0
43,1007.0
44,999.0
45,991.0
46,791.0
47,924.0
48,927.0
49,737.0
50,881.0
51,928.0
52,1074.0
53,825.0
54,772.0
55,785.0
56,993.0
57,706.0
58,677.0
59,734.0
60,1052.0
61,978.0
62,1125.0
63,1105.0
64,901.0
65,785.0
66,1080.0
67,1006.0
68,1121.0
69,797.0
70,912.0
71,944.0
72,912.0
73,933.0
74,919.0
75,800.0
76,836.0
77,1005.0
78,854.0
79,1009.0
80,991.0
81,836.0
82,888.0
83,911.0
84,1040.0
85,938.0
86,1041.0
87,891.0
88,1078.0
89,1031.0
90,831.0
91,761.0
92,999.0
93,716.0
94,865.0
95,1119.0
96,1160.0
97,892.0
98,930.0
99,807.0
100,1144.0
101,983.0
102,1149.0
103,529.0
104,984.0
105,793.0
106,1232.0
107,889.0
108,906.0
109,752.0
110,1146.0
111,915.0
112,988.0
113,850.0
114,881.0
115,959.0
116,727.0
117,837.0
118,882.0
119,991.0
120,1161.0
121,1006.0
122,975.0
123,997.0
124,712.0
125,835.0
126,790.0
127,1097.0
128,942.0
129,1177.0
130,1001.0
131,826.0
132,902.0
133,959.0
134,991.0
135,895.0
136,925.0
137,866.0
138,975.0
139,929.0
140,1007.0
141,990.0
142,1044.0
143,1043.0
144,899.0
145,804.0
146,798.0
147,835.0
148,940.0
149,1105.0
150,911.0
151,831.0
152,798.0
153,980.0
154,808.0
155,1032.0
156,1107.0
157,911.0
158,1051.0
159,822.0
160,1110.0
161,1006.0
162,978.0
163,864.0
164,978.0
165,986.0
166,745.0
167,826.0
168,844.0
169,1011.0
170,712.0
171,1010.0
172,1021.0
173,843.0
174,979.0
175,1077.0
176,998.0
177,941.0
178,967.0
